"Id_m_category";"Mcategory_name"
"101";"อุปกรณ์ไฟฟ้า"
"102";"อุปกรณ์ประปา"
"103";"อุปกรณ์ครุภัณฑ์"
"104";"อุปกรณ์อื่น ๆ"
